alpha_true,gamma_true,phi_true,r_true,rep,seed,success,error,T,mu_true,mu_est,phi_est,alpha_est,gamma_est,r_est,gamma0_mu_est,gamma0_phi_est,gamma0_alpha_est,gamma0_r_est,joint_nll,gamma0_nll,bic_joint,bic_gamma0,delta_nll_gamma0,delta_bic_gamma0,joint_wins_nll,joint_wins_bic,q_center_true,q_dist_1_true,q_multiplier_1_true,q_center_est,q_dist_1_est,q_multiplier_1_est,log_r_est,log_q_center_est,log_q_dist_1_est,gamma_error,alpha_error,phi_error,r_error,abs_gamma_error,abs_alpha_error,abs_phi_error,abs_r_error,true_positive_coupling,true_ictal_scale_coupling,gamma_regime,alpha_regime,phi_regime,r_regime,mean_x,sd_x,mean_q,median_q,max_q,N_particles_fit,N_particles_eval,N_eval_repeats,runtime_sec
-5,-3.0,0.21,0.0009,0,276989171,True,,60,-0.16,-0.14475285136933858,0.39528346669119463,-5.006707105851332,-4.9999999782912,0.0005183255259588502,-0.1492480718143274,0.46748322260706543,-5.372347995384111,0.0009613784861789574,-72.04135626025645,-71.06668188923479,-123.61098970940239,-125.75598552958117,0.9746743710216634,-2.144995820178778,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.006692906091258143,4.50964474917434e-05,0.006737947145358213,-7.564907084591299,-5.006707105851332,-10.006707084142532,-1.9999999782912,-0.006707105851331718,0.18528346669119464,-0.0003816744740411498,1.9999999782912,0.006707105851331718,0.18528346669119464,0.0003816744740411498,False,False,ictal_scale,low,low,low,-0.14845933025912694,0.08000070128419377,0.005564768069973181,0.005726808771053133,0.006737946999085467,1200,500,10,67.33290767669678
-5,-3.0,0.21,0.0009,1,1368228386,True,,60,-0.16,-0.1700982963370885,-0.0869606855282159,-4.839860418665507,-4.202859864496878,0.0007085778817153805,-0.1699065964970809,-0.016579689050524732,-13.328013744930548,0.0069884400436779496,-64.51749886365914,-64.1011865104505,-108.56327491620777,-111.8249947720126,0.4163123532086388,-3.2617198558048273,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.007908157805779815,0.00011824872851541524,0.014952752767400655,-7.2522505800824755,-4.839860418665507,-9.042720283162385,-1.2028598644968778,0.16013958133449258,-0.29696068552821586,-0.00019142211828461952,1.2028598644968778,0.16013958133449258,0.29696068552821586,0.00019142211828461952,False,False,ictal_scale,low,low,low,-0.1765404983910346,0.07735982982574871,0.005565870220919088,0.005609671300948116,0.006737946999085467,1200,500,10,79.3702745437622
-5,-3.0,0.21,0.0009,2,766623406,True,,60,-0.16,-0.15137072454508094,0.1515123254448526,-4.780465936809702,-3.550204123398301,0.0009696969799754269,-0.15002436826584514,0.427599530167289,-5.971706130542767,0.005017227440713407,-61.126610085386446,-61.56288546931738,-101.78149735966238,-106.74839268974635,-0.43627538393093346,-4.966895330083972,False,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.008392087873750323,0.00024101049921670706,0.028718776881563136,-6.938526927049232,-4.780465936809702,-8.330670060208003,-0.5502041233983008,0.21953406319029778,-0.05848767455514739,6.969697997542693e-05,0.5502041233983008,0.21953406319029778,0.05848767455514739,6.969697997542693e-05,False,False,ictal_scale,low,low,low,-0.14477389552474096,0.07345995631327491,0.005663273840549817,0.005732548053887843,0.006737946999085467,1200,500,10,75.38054966926575
-5,-3.0,0.21,0.0009,3,769883223,True,,60,-0.16,-0.173765336778158,0.048804780768298084,-5.64587040821645,3.752216263973626,0.0004565695638567303,-0.1751458714161409,0.12013986466861443,-6.44787458182053,0.003236284619872078,-74.92967949998481,-74.60569458235632,-129.38763618885912,-132.83401091582425,0.32398491762849346,-3.446374726965132,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.0035320727176492268,0.15052077804200958,42.61542444748668,-7.691769484310376,-5.64587040821645,-1.8936541442428245,6.752216263973626,-0.6458704082164504,-0.1611952192317019,-0.0004434304361432697,6.752216263973626,0.6458704082164504,0.1611952192317019,0.0004434304361432697,False,False,ictal_scale,low,low,low,-0.17598497533736862,0.06742638009787508,0.005729166367213782,0.005871950014563151,0.006737946999085467,1200,500,10,88.24945068359375
-5,-3.0,0.21,0.0009,4,875334334,True,,60,-0.16,-0.15725245459108078,0.1312272988694842,-4.658928603028049,-4.999999963336661,0.0004697501123157516,-0.1543089314370617,0.3726068190552023,-6.339425666573691,0.005486799584441755,-62.88319818476977,-61.985030304391145,-105.29467355842903,-107.59268235989389,0.8981678803786224,-2.29800880146486,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.009476610176039235,6.385289943820676e-05,0.006737947246121106,-7.663309680573864,-4.658928603028049,-9.658928566364711,-1.999999963336661,0.34107139697195077,-0.0787727011305158,-0.0004302498876842484,1.999999963336661,0.34107139697195077,0.0787727011305158,0.0004302498876842484,False,False,ictal_scale,low,low,low,-0.16466812495418112,0.0778350867556697,0.00561942842187762,0.005711268344372531,0.006737946999085467,1200,500,10,83.39280533790588
-5,-3.0,0.21,0.0009,5,1486311356,True,,60,-0.16,-0.16332442030017702,0.15097654152989604,-5.013293968527119,-2.9656130124658002,0.00045481653681602233,-0.16631357918533302,0.4297341040200506,-6.105654091034991,0.0037325753882626583,-68.25835798343978,-67.6047069032198,-116.04499315576905,-118.83203555755121,0.6536510802199729,-2.787042401782159,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.006648965711426134,0.00034261370121842693,0.051528871720552136,-7.69561643611563,-5.013293968527119,-7.978906980992919,0.034386987534199775,-0.013293968527118949,-0.05902345847010396,-0.00044518346318397765,0.034386987534199775,0.013293968527118949,0.05902345847010396,0.00044518346318397765,False,False,ictal_scale,low,low,low,-0.15759231552002245,0.07392743683063185,0.005712604565404563,0.005753814867041511,0.006737946999085467,1200,500,10,87.27628207206726
-5,-3.0,0.21,0.0009,6,884706376,True,,60,-0.16,-0.15292789536724105,0.25527729190878445,-4.689799570359874,-4.999999962907893,0.0008576830895909106,-0.1520598308417185,0.4266305780212372,-5.804351859770177,0.004091039654767757,-62.72357968277877,-61.31887508113631,-104.97543655444704,-106.26037191338422,1.4047046016424574,-1.284935358937176,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.00918852762498121,6.191181443319567e-05,0.0067379472490101235,-7.0612758861574685,-4.689799570359874,-9.689799533267767,-1.9999999629078928,0.3102004296401262,0.04527729190878446,-4.2316910409089404e-05,1.9999999629078928,0.3102004296401262,0.04527729190878446,4.2316910409089404e-05,False,False,ictal_scale,low,low,low,-0.14868350542165096,0.08179218044392478,0.005600962922346209,0.0056986735747117274,0.006737946999085467,1200,500,10,90.52002930641174
-5,-3.0,0.21,0.0009,7,651800253,True,,60,-0.16,-0.16185834552905998,0.37699796357416215,-5.231213035425616,-2.4323449342226846,0.0004925518950363644,-0.16252297430146254,0.4652937694425093,-5.479095977598574,0.000734603448062322,-73.51025836435291,-73.04275416354753,-126.5487939175953,-129.70813007820666,0.46750420080537936,-3.1593361606113604,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.005347035223959359,0.00046963349297340207,0.08783063385650357,-7.615910732271013,-5.231213035425616,-7.6635579696483,0.5676550657773154,-0.23121303542561567,0.16699796357416216,-0.0004074481049636356,0.5676550657773154,0.23121303542561567,0.16699796357416216,0.0004074481049636356,False,False,ictal_scale,low,low,low,-0.16076737894625878,0.07302415194738353,0.005724605910603741,0.005889471837709177,0.006737946999085467,1200,500,10,83.71570253372192
-5,-3.0,0.21,0.0009,8,993417304,True,,60,-0.16,-0.15959328329267025,0.34798600862733986,-4.753754947294752,-2.4840487212676057,0.0008912891575068751,-0.1548410987939169,0.44433598237519994,-4.936700646147898,0.0006829323212293736,-59.27593067647185,-59.30757724818555,-98.08013854183321,-102.2377762474827,-0.031646571713700666,-4.157637705649492,False,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.008619269460199728,0.0007188889458559402,0.08340485805386129,-7.022841651709319,-4.753754947294752,-7.237803668562357,0.5159512787323943,0.2462450527052482,0.13798600862733987,-8.710842493124841e-06,0.5159512787323943,0.2462450527052482,0.13798600862733987,8.710842493124841e-06,False,False,ictal_scale,low,low,low,-0.15306314782775685,0.08267541701017718,0.005489361564003365,0.005499144587641733,0.006737946999085467,1200,500,10,59.569955587387085
-5,-3.0,0.21,0.0009,9,1656332437,True,,60,-0.16,-0.15295954183616672,0.22464423034367778,-5.026911711144276,-4.9999999782912,0.000541606097602998,-0.16168629930286738,0.4510331104977237,-6.004491466443158,0.003037497904416618,-70.72416123047057,-68.12572170580403,-120.97659964983063,-119.87406516271965,2.5984395246665457,1.1025344871109866,True,True,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.0065590355205329375,4.419443466187803e-05,0.006737947145358213,-7.5209715779306965,-5.026911711144276,-10.026911689435476,-1.9999999782912,-0.02691171114427604,0.014644230343677789,-0.000358393902397002,1.9999999782912,0.02691171114427604,0.014644230343677789,0.000358393902397002,False,False,ictal_scale,low,low,low,-0.15144444083886682,0.06812309484360891,0.0057596742969454485,0.005757947772498089,0.006737946999085467,1200,500,10,73.88349390029907
