alpha_true,gamma_true,phi_true,r_true,rep,seed,success,error,T,mu_true,mu_est,phi_est,alpha_est,gamma_est,r_est,gamma0_mu_est,gamma0_phi_est,gamma0_alpha_est,gamma0_r_est,joint_nll,gamma0_nll,bic_joint,bic_gamma0,delta_nll_gamma0,delta_bic_gamma0,joint_wins_nll,joint_wins_bic,q_center_true,q_dist_1_true,q_multiplier_1_true,q_center_est,q_dist_1_est,q_multiplier_1_est,log_r_est,log_q_center_est,log_q_dist_1_est,gamma_error,alpha_error,phi_error,r_error,abs_gamma_error,abs_alpha_error,abs_phi_error,abs_r_error,true_positive_coupling,true_ictal_scale_coupling,gamma_regime,alpha_regime,phi_regime,r_regime,mean_x,sd_x,mean_q,median_q,max_q,N_particles_fit,N_particles_eval,N_eval_repeats,runtime_sec
-7.98,-3.5,0.22,0.001,0,1994886035,True,,60,-0.15,-0.13976192225123105,-0.19274711858834764,-7.2434205575334385,3.7129634715426754,0.0002750641845565365,-0.13809699988139235,0.4012689592707449,-12.447398347573449,0.001255582400604742,-113.09222416187679,-114.81886832178324,-205.71272551264306,-213.2603583946781,-1.7266441599064564,-7.547632882035032,False,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0007148623455344084,0.029291524061373978,40.97505518978841,-8.198506089143464,-7.2434205575334385,-3.530457085990763,7.212963471542675,0.7365794424665619,-0.4127471185883477,-0.0007249358154434635,7.212963471542675,0.7365794424665619,0.4127471185883477,0.0007249358154434635,False,False,ictal_scale,low,low,low,-0.14497070945724314,0.017907171613191563,0.0003249775185637513,0.0003270232250226115,0.0003422394225150394,1200,500,10,105.52242302894592
-7.98,-3.5,0.22,0.001,1,654863706,True,,60,-0.15,-0.14331682913842234,0.20493837563273448,-7.230459829122379,-4.9674673519226005,0.0001312626274859256,-0.14275774992950463,0.4726733413843385,-7.832628018652821,0.0004784614708288286,-127.25597327765836,-128.36116722799503,-234.0402237442062,-240.34495620710166,-1.1051939503366697,-6.304732462895458,False,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0007241877839428318,5.040893645190523e-06,0.006960754871817138,-8.938310451703794,-7.230459829122379,-12.19792718104498,-1.4674673519226005,0.749540170877621,-0.01506162436726552,-0.0008687373725140745,1.4674673519226005,0.749540170877621,0.01506162436726552,0.0008687373725140745,False,False,ictal_scale,low,low,low,-0.14531025773871897,0.016257701553953622,0.00032684869625400294,0.00032919372598461626,0.0003422394225150394,1200,500,10,114.90923476219177
-7.98,-3.5,0.22,0.001,2,43886684,True,,60,-0.15,-0.15037834379699253,-0.07246658894506643,-6.779384818836467,0.07304731850939154,0.00012164875753439941,-0.15047736464940298,0.3723410865836053,-9.553331402029123,0.0011919992463794483,-114.69784018724049,-115.07536118966252,-208.92395756337046,-213.77334413043664,-0.3775210024220286,-4.849386567066176,False,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0011369741282883084,0.0012231356650688591,1.075781440084539,-9.014372702232034,-6.779384818836467,-6.706337500327076,3.5730473185093916,1.200615181163533,-0.29246658894506644,-0.0008783512424656006,3.5730473185093916,1.200615181163533,0.29246658894506644,0.0008783512424656006,False,False,ictal_scale,low,low,low,-0.14829761082430096,0.01853829557013954,0.00032536173361072895,0.0003278963354459984,0.0003422394225150394,1200,500,10,88.40242338180542
-7.98,-3.5,0.22,0.001,3,546152778,True,,60,-0.15,-0.14193940533950053,0.10381428835104868,-7.243734362676799,4.349094771387624,0.00011070082484704545,-0.14324144724839533,0.47444257060977263,-8.878455523794273,0.000818660100581809,-124.31292898797923,-124.07221916114997,-228.15413516484796,-231.76706007341156,0.24070982682926,-3.612924908563599,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0007146380532474624,0.05531895893698509,77.40835893863243,-9.10867926708462,-7.243734362676799,-2.8946395912891747,7.849094771387624,0.7362656373232017,-0.11618571164895132,-0.0008892991751529546,7.849094771387624,0.7362656373232017,0.11618571164895132,0.0008892991751529546,False,False,ictal_scale,low,low,low,-0.14434458041315215,0.016949846272759465,0.0003252272723041389,0.00032500377041649945,0.0003422394225150394,1200,500,10,88.19380569458008
-7.98,-3.5,0.22,0.001,4,1099064779,True,,60,-0.15,-0.1609483048348543,-0.14926893235310293,-6.625392678715324,-4.9999999782912,0.00017390376572655732,-0.1605492249421837,0.24405853262119218,-11.830304178162823,0.0014007799407604034,-113.01370634676182,-111.79130616087127,-205.55568988241313,-207.20523407285415,1.2224001858905496,-1.64954419044102,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0013262595348709292,8.93626664698769e-06,0.0067379471453582135,-8.657008482286697,-6.625392678715324,-11.625392657006524,-1.4999999782912,1.3546073212846768,-0.36926893235310293,-0.0008260962342734427,1.4999999782912,1.3546073212846768,0.36926893235310293,0.0008260962342734427,False,False,ictal_scale,low,low,low,-0.15454027283155636,0.017073017607474646,0.0003265268338186172,0.00033000330766696704,0.0003422394225150394,1200,500,10,131.04203414916992
-7.98,-3.5,0.22,0.001,5,536780736,True,,60,-0.15,-0.15827633298507807,0.08565607624482204,-6.461591601722651,2.054142529827481,0.00014174200237081352,-0.15721198042421336,0.44088643612718165,-7.6759892671875924,0.0013397619561447852,-103.77470715885325,-103.68870436741608,-187.07769150659598,-191.00003048594377,0.08600279143716705,-3.922338979347785,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0015623071597619755,0.01218622489788173,7.8001466112069515,-8.861502037612572,-6.461591601722651,-4.4074490718951695,5.554142529827481,1.5184083982773497,-0.13434392375517795,-0.0008582579976291865,5.554142529827481,1.5184083982773497,0.13434392375517795,0.0008582579976291865,False,False,ictal_scale,low,low,low,-0.15100462334430115,0.021373267972461113,0.0003221348867685559,0.0003226294513640033,0.0003422394225150394,1200,500,10,92.51189374923706
-7.98,-3.5,0.22,0.001,6,1108436821,True,,60,-0.15,-0.15078841133281554,0.0333994463125577,-6.705645920695596,4.943348509951305,0.0001454280728158662,-0.15180967811428958,0.41782201620787907,-8.084178239089585,0.0012591909511332692,-107.99706202843804,-107.76146262368931,-195.52240124576556,-199.14554699849023,0.23559940474872576,-3.6231457527246675,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0012239818533509217,0.17165005979156636,140.23905609518332,-8.835828938489591,-6.705645920695596,-1.7622974107442912,8.443348509951305,1.2743540793044046,-0.1866005536874423,-0.0008545719271841339,8.443348509951305,1.2743540793044046,0.1866005536874423,0.0008545719271841339,False,False,ictal_scale,low,low,low,-0.15302984766620986,0.018122832971804444,0.00032552057358545977,0.0003263590141540408,0.0003422394225150394,1200,500,10,112.84157943725586
-7.98,-3.5,0.22,0.001,7,428069808,True,,60,-0.15,-0.1577122627048587,-0.04987025864109368,-6.763881620439178,-4.9999999782912,9.807167143797247e-05,-0.15710780246200476,0.42033206293634423,-8.710098150659714,0.0009111929102693704,-118.99417549390314,-118.71072698307026,-217.51662817669578,-221.04407571725213,0.28344851083288347,-3.527447540556352,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.001154738208000766,7.780565012234812e-06,0.0067379471453582135,-9.229812005389563,-6.763881620439178,-11.763881598730379,-1.4999999782912,1.2161183795608226,-0.2698702586410937,-0.0009019283285620276,1.4999999782912,1.2161183795608226,0.2698702586410937,0.0009019283285620276,False,False,ictal_scale,low,low,low,-0.15171978741965333,0.01947449847282433,0.0003244142356143552,0.0003265635244836566,0.0003422394225150394,1200,500,10,126.35576224327087
-7.98,-3.5,0.22,0.001,8,1217147749,True,,60,-0.15,-0.15114474416077436,0.015262906966285556,-6.901024455092049,-4.9999999782912,8.231591510368825e-05,-0.15209958653286745,0.3091779177142819,-9.96680264301953,0.000924058170276989,-123.41626026547048,-123.2651613566331,-226.36079771983046,-230.1529444643778,0.1510989088373833,-3.7921467445473525,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0010067535267930384,6.783452051934467e-06,0.0067379471453582135,-9.404946089830922,-6.901024455092049,-11.901024433383249,-1.4999999782912,1.0789755449079514,-0.20473709303371446,-0.0009176840848963118,1.4999999782912,1.0789755449079514,0.20473709303371446,0.0009176840848963118,False,False,ictal_scale,low,low,low,-0.15129675346756188,0.02122316497277199,0.000322614190977189,0.00032578684908923957,0.0003422394225150394,1200,500,10,112.62495422363281
-7.98,-3.5,0.22,0.001,9,615542769,True,,60,-0.15,-0.14831356036635723,0.09553108483397339,-6.478992726657053,-4.999999926422451,0.00013348852227535536,-0.1492282478077594,0.4684170759392039,-8.052148175448703,0.00118223667242805,-110.24342015706054,-109.82417535130351,-200.01511750301057,-203.27097245371863,0.4192448057570317,-3.2558549507080556,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.001535356424298036,1.0345150972796373e-05,0.006737947494847113,-8.921495059285576,-6.478992726657053,-11.478992653079503,-1.4999999264224506,1.5010072733429478,-0.12446891516602661,-0.0008665114777246447,1.4999999264224506,1.5010072733429478,0.12446891516602661,0.0008665114777246447,False,False,ictal_scale,low,low,low,-0.14808171605524437,0.017846915167883386,0.00032586830409141605,0.0003276327006522681,0.0003422394225150394,1200,500,10,106.7163507938385
-7.98,-3.5,0.22,0.001,10,1226519791,True,,60,-0.15,-0.14879745712761744,-0.2577326560906682,-6.664338979305731,-2.6380254525273337,0.00014178856553905523,-0.1488115809442336,0.23096306793342314,-11.139026319420973,0.0013559554639726227,-114.31297579033576,-112.84425427238304,-208.154228769561,-209.3111302958777,1.4687215179527158,-1.1569015263166875,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.001275599545277562,9.120832046897275e-05,0.07150231497544665,-8.861173585065085,-6.664338979305731,-9.302364431833064,0.8619745474726663,1.3156610206942698,-0.4777326560906682,-0.0008582114344609448,0.8619745474726663,1.3156610206942698,0.4777326560906682,0.0008582114344609448,False,False,ictal_scale,low,low,low,-0.15138992830270134,0.017148499193526106,0.00032555210169455306,0.0003272413261199522,0.0003422394225150394,1200,500,10,87.90926194190979
-7.98,-3.5,0.22,0.001,11,724253697,True,,60,-0.15,-0.15436303713579305,0.0489024011833681,-6.622016346937955,-4.986151256386545,0.00011882642439801035,-0.15635137234954155,0.2132705203352267,-9.445352017912327,0.0013401854346434979,-111.30705874233963,-111.64630474689731,-202.14239467356876,-206.91523124490624,-0.3392460045576797,-4.7728365713374785,False,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0013307449950233335,9.091527670590233e-06,0.0068319082202753754,-9.037846748176399,-6.622016346937955,-11.6081676033245,-1.4861512563865453,1.3579836530620453,-0.1710975988166319,-0.0008811735756019896,1.4861512563865453,1.3579836530620453,0.1710975988166319,0.0008811735756019896,False,False,ictal_scale,low,low,low,-0.1461405832866563,0.018881346816298484,0.00032455752828819396,0.0003259938855498989,0.0003422394225150394,1200,500,10,123.07932209968567
-7.98,-3.5,0.22,0.001,12,1335230719,True,,60,-0.15,-0.1518283608098092,0.02483161306925471,-6.959078434250328,0.08945297023228951,0.00012879664238518718,-0.1520093877803841,0.39804857217640627,-8.971866788383132,0.0009462352619985529,-119.45071073213253,-119.51804988406813,-218.42969865315456,-222.65872151924788,-0.0673391519355988,-4.229022866093317,False,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0009499716325869317,0.0010388660844888912,1.0935759014823263,-8.957275813071796,-6.959078434250328,-6.869625464018038,3.5894529702322897,1.0209215657496724,-0.19516838693074529,-0.0008712033576148128,3.5894529702322897,1.0209215657496724,0.19516838693074529,0.0008712033576148128,False,False,ictal_scale,low,low,low,-0.15544899423775496,0.01604927639518951,0.0003281511742431206,0.00033136325766508273,0.0003422394225150394,1200,500,10,83.25881719589233
-7.98,-3.5,0.22,0.001,13,733625739,True,,60,-0.15,-0.15213791398586035,-0.14616995109281758,-6.786383056898262,-4.9999999782912,9.487129677505189e-05,-0.1520819352262576,0.4152954192292171,-8.712782842151194,0.0009989531178248425,-118.68361457399165,-117.35578005605578,-216.89550633687278,-218.33418186322317,1.3278345179358695,-1.43867552635038,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0011290450896789246,7.607446138982812e-06,0.0067379471453582135,-9.262989355684299,-6.786383056898262,-11.786383035189463,-1.4999999782912,1.1936169431017385,-0.3661699510928176,-0.0009051287032249482,1.4999999782912,1.1936169431017385,0.3661699510928176,0.0009051287032249482,False,False,ictal_scale,low,low,low,-0.1555033322770812,0.019585861198250808,0.0003235965199202325,0.0003254402835307482,0.0003422394225150394,1200,500,10,132.87453842163086
-7.98,-3.5,0.22,0.001,14,802880890,True,,60,-0.15,-0.1572590194773479,0.12388868984272336,-7.141852170746775,4.975267093917758,0.00011598082524834532,-0.15544329031199172,0.45205962252801124,-8.551422708895592,0.0008413992531139519,-121.08718417087633,-120.80404694774145,-221.70264553064214,-225.23071564659452,0.28313722313487233,-3.5280701159523744,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0007912851431673126,0.11456819121148422,144.78749184257015,-9.062085680104621,-7.141852170746775,-2.1665850768290174,8.475267093917758,0.8381478292532254,-0.09611131015727664,-0.0008840191747516547,8.475267093917758,0.8381478292532254,0.09611131015727664,0.0008840191747516547,False,False,ictal_scale,low,low,low,-0.15046443035088142,0.018728530630823043,0.0003250295194895064,0.0003264925464367874,0.0003422394225150394,1200,500,10,114.3346598148346
-7.98,-3.5,0.22,0.001,15,842336667,True,,60,-0.15,-0.14774720232907257,0.019601865932616758,-7.113678033011187,4.999999980748799,0.00012369127759609416,-0.1473204154853988,0.34923214296815114,-9.21164936381214,0.0010194225418101608,-118.18509315747383,-119.22551496887866,-215.89846350383715,-222.07365168886892,-1.0404218114048263,-6.175188185031772,False,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0008138959440371987,0.12079286590992683,148.41315624544512,-8.99772179361385,-7.113678033011187,-2.1136780522623875,8.4999999807488,0.8663219669888136,-0.20039813406738324,-0.0008763087224039059,8.4999999807488,0.8663219669888136,0.20039813406738324,0.0008763087224039059,False,False,ictal_scale,low,low,low,-0.14609396411321268,0.02038356398610517,0.0003234675561241721,0.0003259362905099826,0.0003422394225150394,1200,500,10,127.69777512550354
-7.98,-3.5,0.22,0.001,16,1807413074,True,,60,-0.15,-0.15742876259770366,0.13985419446096983,-6.716801637201819,-4.9999999782912,8.94072934280164e-05,-0.15710178802225858,0.3484139837491073,-7.661204811061024,0.0006596482191067383,-118.10403713566313,-117.8688147549926,-215.73635146021576,-219.3602512610968,0.23522238067053536,-3.6238998008810483,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.001210403338636774,8.155633720299702e-06,0.0067379471453582135,-9.32230829714357,-6.716801637201819,-11.716801615493019,-1.4999999782912,1.2631983627981818,-0.08014580553903017,-0.0009105927065719836,1.4999999782912,1.2631983627981818,0.08014580553903017,0.0009105927065719836,False,False,ictal_scale,low,low,low,-0.1506019818443064,0.01879631087501323,0.0003242937676739692,0.0003268996954219111,0.0003422394225150394,1200,500,10,125.95959115028381
-7.98,-3.5,0.22,0.001,17,851708709,True,,60,-0.15,-0.15051165181123738,-0.07674688762619826,-6.867994084448859,4.999713400914308,0.0001438718690074089,-0.14902416148984368,0.4047358803485831,-8.723374014732961,0.00120719031648836,-112.96865514631966,-112.84524969121966,-205.46558748152881,-209.31312113355094,0.12340545509999856,-3.847533652022122,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0010405622525650306,0.15438887709377075,148.37063012154778,-8.84658745305366,-6.867994084448859,-1.8682806835345511,8.499713400914308,1.1120059155511415,-0.2967468876261983,-0.0008561281309925912,8.499713400914308,1.1120059155511415,0.2967468876261983,0.0008561281309925912,False,False,ictal_scale,low,low,low,-0.151471105260241,0.01798148975492005,0.00032550200620800956,0.0003290942310579247,0.0003422394225150394,1200,500,10,108.44991850852966
-7.98,-3.5,0.22,0.001,18,1798041032,True,,60,-0.15,-0.1469406803668569,-0.1111849249696143,-6.885577304034547,4.999999980748799,0.00014816012842149234,-0.14688908318765842,0.2820861004975072,-9.158780182295228,0.001250891524214742,-113.39772026616356,-112.90066271896042,-206.3237177212166,-209.42394718903245,0.4970575472031413,-3.1002294678158364,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0010224257344451915,0.1517414302755782,148.41315624544512,-8.817216920291049,-6.885577304034547,-1.885577323285748,8.4999999807488,1.094422695965453,-0.33118492496961427,-0.0008518398715785077,8.4999999807488,1.094422695965453,0.33118492496961427,0.0008518398715785077,False,False,ictal_scale,low,low,low,-0.14911339320908587,0.018447072208870395,0.00032610987858631567,0.00032960579798278625,0.0003422394225150394,1200,500,10,114.60788297653198
-7.98,-3.5,0.22,0.001,19,960419637,True,,60,-0.15,-0.15125854353887458,0.1442633488519462,-6.611387312876196,-0.3069077806402661,0.0001515555543263684,-0.15471097393356043,0.46841595347112164,-6.621804058616437,0.00020095251240366866,-110.49841664953053,-107.66868571152,-200.52511048795054,-198.9599931741516,2.8297309380105276,1.565117313798936,True,True,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.001344964967311376,0.0009895155346833797,0.7357184452628903,-8.794558305007559,-6.611387312876196,-6.918295093516462,3.193092219359734,1.3686126871238047,-0.07573665114805381,-0.0008484444456736316,3.193092219359734,1.3686126871238047,0.07573665114805381,0.0008484444456736316,False,False,ictal_scale,low,low,low,-0.1471949876879191,0.017159401811330403,0.00032625116366954125,0.0003287305990120257,0.0003422394225150394,1200,500,10,78.62823534011841
-7.98,-3.5,0.22,0.001,20,1689330104,True,,60,-0.15,-0.147737926592915,0.1489069673470435,-7.089206280613978,4.995723202463044,8.539300985299793e-05,-0.147784752428758,0.44674556446113767,-8.397546293931926,0.000763975101051948,-121.53033698435851,-121.58035867169679,-222.58895115760652,-226.78333909450518,-0.050021687338272613,-4.194387936898664,False,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0008340591118377028,0.1232570732626686,147.77978144869527,-9.368246312358226,-7.089206280613978,-2.0934830781509346,8.495723202463044,0.8907937193860223,-0.0710930326529565,-0.000914606990147002,8.495723202463044,0.8907937193860223,0.0710930326529565,0.000914606990147002,False,False,ictal_scale,low,low,low,-0.14816516003374353,0.016737483978523777,0.00032620356445670973,0.00032742578574614404,0.0003422394225150394,1200,500,10,90.28553414344788
-7.98,-3.5,0.22,0.001,21,969791679,True,,60,-0.15,-0.15621429227215813,-0.0098315433684806,-6.787874088024329,-4.999959908715461,9.339328476028721e-05,-0.15485467533720834,0.35886021650902794,-11.130436011508994,0.001077562416011105,-119.87997788938063,-119.86482529660573,-219.28823296765074,-223.35227234432307,0.015152592774896334,-4.064039376672326,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.001127362902715691,7.596416031205245e-06,0.006738217137450879,-9.2786911129557,-6.787874088024329,-11.787833996739788,-1.4999599087154607,1.1921259119756717,-0.2298315433684806,-0.0009066067152397128,1.4999599087154607,1.1921259119756717,0.2298315433684806,0.0009066067152397128,False,False,ictal_scale,low,low,low,-0.15659149635787128,0.015608116414963244,0.0003274311094042725,0.00032983325633790573,0.0003422394225150394,1200,500,10,102.79119348526001
-7.98,-3.5,0.22,0.001,22,467525585,True,,60,-0.15,-0.1544442465198558,0.12883488632096346,-7.001987333206809,4.9999914336981615,0.00011270198085379337,-0.1542107583456315,0.4261550614322474,-8.297229375449596,0.0008380767946903966,-118.34286907312094,-118.61892921003702,-216.21401533513136,-220.86048017118566,-0.27606013691608666,-4.646464836054292,False,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0009100715517872293,0.13506543699386994,148.4118877561043,-9.090763560730561,-7.001987333206809,-2.001995899508648,8.499991433698161,0.978012666793191,-0.09116511367903654,-0.0008872980191462067,8.499991433698161,0.978012666793191,0.09116511367903654,0.0008872980191462067,False,False,ictal_scale,low,low,low,-0.15621865779179953,0.018171134210805257,0.00032437808253911715,0.00032603194861014953,0.0003422394225150394,1200,500,10,102.45562744140625
-7.98,-3.5,0.22,0.001,23,34740509,True,,60,-0.15,-0.14685369968274886,-0.17637708546715863,-6.861829073804946,0.5629047689533285,0.00017172667375011484,-0.14713144510177573,0.24743851303815872,-11.300528049320548,0.0012779100794248067,-115.12286971642291,-114.56585234233103,-209.7740166217353,-212.75432643577366,0.5570173740918847,-2.9803098140383497,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0010469971451372562,0.0018382811439620935,1.7557651923884705,-8.66960645122314,-6.861829073804946,-6.298924304851618,4.062904768953328,1.118170926195054,-0.39637708546715866,-0.0008282733262498852,4.062904768953328,1.118170926195054,0.39637708546715866,0.0008282733262498852,False,False,ictal_scale,low,low,low,-0.1513553604287601,0.019372204938364702,0.0003244627698764645,0.00032713135373675477,0.0003422394225150394,1200,500,10,91.27119517326355
-7.98,-3.5,0.22,0.001,24,1571247134,True,,60,-0.15,-0.14744117989723105,-0.11504264510661093,-6.962301287941941,4.999999980748799,0.0001286089255618381,-0.14614220681935142,0.3367997200041136,-11.73774691227465,0.0012707258269617013,-115.57262267905017,-115.14871295027815,-210.67352254698983,-213.92004765166791,0.42390972877201705,-3.246525104678085,True,False,0.0003422394225150394,1.0334735063919507e-05,0.0301973834223185,0.0009469149412841124,0.14053463513194547,148.41315624544512,-8.958734342956165,-6.962301287941941,-1.9623013071931412,8.4999999807488,1.0176987120580598,-0.3350426451066109,-0.0008713910744381619,8.4999999807488,1.0176987120580598,0.3350426451066109,0.0008713910744381619,False,False,ictal_scale,low,low,low,-0.14802010714434202,0.020080789825945942,0.0003237473004169425,0.00032514080498437145,0.0003422394225150394,1200,500,10,134.7078456878662
